"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_account_template_0_210301","Impuestos Sobre La Renta","210301","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210302","Iva Debito Fiscal","210302","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210303","Impuestos Retenidos","210303","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21030301","Permanentes","21030301","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21030302","Eventuales","21030302","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21030303","No Domiciliados","21030303","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210304","Impuestos Municipales","210304","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210305","IVA Por Pagar","210305","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210306","IVA Importacion de Servicios","210306","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2104","Otras Cuentas Por Pagar y Gastos Acumulados Por Pagar","2104","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210401","Retenciones","210401","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040101","I.S.S.S.","21040101","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040102","A.F.P.'S.","21040102","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040103","Procuraduria","21040103","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040104","Prestamos Bancarios","21040104","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210402","Contribuciones Patronales de Seguro Y Pensiones","210402","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040201","I.S.S.S.","21040201","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_21040202","A.F.P.`S","21040202","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2105","Beneficio a Empleados Por Pagar","2105","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210501","Indemnizaciones","210501","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210502","Vacaciones","210502","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210503","Aguinaldos","210503","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210504","Planillas por pagar","210504","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2106","Otras Cuentas Por Pagar","2106","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_210601","Criptomonedas en Custodia","210601","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_22","NO CORRIENTE","22","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2201","Prestamos a Largo Plazo","2201","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_220101","Prestamos Bancarios","220101","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_22010101","Bandesal","22010101","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_220102","Prestamos de Accionistas y Relacionadas","220102","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2202","Otros Pasivos y Provisiones","2202","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_220201","Ingresos recibidos por Anticipado","220201","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_220202","Beneficios a Empleados","220202","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_22020201","Vacaciones","22020201","account.data_account_type_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_22020202","Indemnizaciones","22020202","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_2203","Diferencias Temporarias","2203","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_220301","Pasivo por Impuesto Diferido","220301","account.data_account_type_non_current_liabilities","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_3","PATRIMONIO","3","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_31","CAPITAL CONTABLE","31","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_3101","Capital","3101","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_310101","Capital Social","310101","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_31010101","Capital Social Minimo","31010101","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_31010102","Capital Social Variable","31010102","account.data_account_type_equity","l10n_chart_sv.account_chart_template_0","FALSE"
